id,name,year_published,image_url,source,source_url,source_notes
b14370de-0c45-4719-a5aa-70618025220a,12 Thieves,2006,https://cf.geekdo-images.com/AYHhIzq4b-Zl1_meiahlIQ__original/img/E2J4xAwFwc754FLaE6Pktrk5TaE=/0x0/filters:format(jpeg)/pic3389017.jpg,wikidata,https://www.wikidata.org/wiki/Q1192929,
6f592add-b356-4193-9b68-069c94f881ae,"'Wacht am Rhein': The Battle of the Bulge, 16 Dec 44 – 2 Jan 45",1977,https://cf.geekdo-images.com/gh5KSCYW2tzAOhp_Rsn7SQ__original/img/6teOqprHhhf9neCbv9DrGGKR8Es=/0x0/filters:format(jpeg)/pic296094.jpg,wikidata,https://www.wikidata.org/wiki/Q106771100,
9319ff03-3b6b-404a-b349-69931bad2f5d,1835,1990,https://cf.geekdo-images.com/7UvvhAg807X1ITyIRALfag__original/img/1Vu52eKoaONv177opE7uJzwmqE8=/0x0/filters:format(jpeg)/pic202312.jpg,wikidata,https://www.wikidata.org/wiki/Q201493,
643a82eb-9051-48c6-a7b2-4e431964607f,10 Days in Asia,2007,https://cf.geekdo-images.com/C-cEAO5M-EwmlGXWKibgPQ__original/img/qYdnFXDZ9d9hd4R0z0aQdVeFkKw=/0x0/filters:format(jpeg)/pic1229653.jpg,wikidata,https://www.wikidata.org/wiki/Q11956023,
c56f3b32-2a42-4aac-93d8-db1196c515bf,1754: Conquest – The French and Indian War,2017,https://cf.geekdo-images.com/MheZa6k2dJUwZYbuVMUn2A__original/img/mXNQ7fPF49qrl6M0IQoTUgrHw5o=/0x0/filters:format(jpeg)/pic3281478.jpg,wikidata,https://www.wikidata.org/wiki/Q42575904,
6c0c30bd-c538-4085-a6ca-7a107481ae78,1775: Rebellion,2013,https://cf.geekdo-images.com/rTKzRG0b8CtQWYqmCC353w__original/img/Qvg98VUzuZQZsRtE4sgn5dDSokE=/0x0/filters:format(jpeg)/pic1386705.jpg,wikidata,https://www.wikidata.org/wiki/Q42576062,
90bcee5c-dcc2-41f7-83a4-b8576e937e72,Ruins,2025,https://cf.geekdo-images.com/oBvx0LBSv-_cACGZOK_J9Q__original/img/mYGruduMYG7wRAjhXbnQIclGQ34=/0x0/filters:format(jpeg)/pic8426382.jpg,legacy_unknown,,
1703cc8a-d850-4ffc-86b9-372b337f8283,Andean Abyss,2012,https://cf.geekdo-images.com/MB8ou4M0PrsBAxADi4EAXQ__original/img/yzWulDyc8Gv7Bort8AWe1o5XusE=/0x0/filters:format(jpeg)/pic1381149.jpg,legacy_unknown,,
3bebe494-4bcb-4be5-840e-6de2f023a9c1,None of a Kind,2011,https://cf.geekdo-images.com/lhmnfa8Z_NdSA4eVCT73Xg__original/img/3Vc6QGk5T5ngqtPSxcD4xPbwixQ=/0x0/filters:format(png)/pic5518214.png,legacy_unknown,,
764922f9-bc84-4a25-9745-ec7fb316a728,Eye Found It: Journey Through Time,2015,https://cf.geekdo-images.com/OdoPcCZNgqmD2VGZpr7pTg__original/img/cv8GMu_2JGlHM_Bqr1O8VCj8lAg=/0x0/filters:format(jpeg)/pic2843053.jpg,legacy_unknown,,
