game_name,mentions,users,mapped_rankings
Five Tribes,4,auriliamoniz|miaquattro|zacheturner_50_1|zekewest,10|8|7
The Quacks of Quedlinburg,3,miaquattro|waynekin|zacheturner_50_1,10|8|6
EXIT: The Game,2,waynekin|zekewest,6
Obsession,2,yolandaboh|zekewest,9|8
Teotihuacan: City of the Gods,2,auriliamoniz_51_100|zekewest,9|6
1846: Race for the Midwest,1,zekewest,9
1972: The Lost Phantom,1,zekewest,7
3 Laws of Robotics,1,zekewest,5
3 Wishes,1,zekewest,6
3-4 Headed Monster,1,zekewest,5
3000 Scoundrels,1,zekewest,5
4 Gods,1,zekewest,9
7-Card Slugfest,1,zekewest,6
7th Guest,1,zekewest,3
878 Vikings,1,zekewest,8
8Bit Attack,1,zekewest,8
Abstract Academy,1,zekewest,7
Adulthood,1,zekewest,6
Aerodome: Rising Horizons,1,zekewest,5
Aeterna,1,zekewest,7
Age of Dirt,1,zekewest,4
AI Space Puzzle,1,zekewest,8
"Air, Land, and Sea: Critters at War",1,zekewest,7
Aldr: The High Sage,1,zekewest,6
Algae Inc.,1,zekewest,7
All Manor of Evil,1,zekewest,8
An Age Contrived,1,zekewest,6
Animal Upon Animal: Crest Climbers,1,zekewest,8
Anno 1800,1,zekewest,7
Antarctica,1,zekewest,7
ApocalypZe,1,zekewest,8
Apocrypha,1,zekewest,5
Apples to Apples - Party Box,1,johnnysmith,9
Architectura,1,zekewest,9
Archmage,1,zekewest,5
Arctic,1,zekewest,6
Armata Strigoi,1,zekewest,7
Ashes Reborn: Red Rains,1,zekewest,9
Ashes: Reborn,1,zekewest,7
AssassinCon,1,zekewest,7
Atari’s Centipede,1,zekewest,6
Australis,1,zekewest,6
Avalanche at Yeti Mountain,1,zekewest,8
Avatar: The Last Airbender – Aang’s Destiny,1,zekewest,8
Axis & Allies & Zombies,1,zekewest,7
Axis and Allies: Anniversary Edition,1,zekewest,8
Azul Mini,1,auriliamoniz_51_100,7
Back to the Future: An Adventure Through Time,1,zekewest,6
Back to the Future: Outatime,1,zekewest,5
Bad Beets,1,zekewest,5
Bad Maps,1,zekewest,4
Bad Neighbors,1,zekewest,5
Bahamas,1,zekewest,6
Bank Heist,1,kaizendomingo_100_91,6
Baseball Card GM,1,zekewest,8
Batman Everybody Lies,1,zekewest,7
Batman: The Animated Series – Rogues Gallery,1,zekewest,8
Battalion: War of the Ancients,1,zekewest,7
Battle Bosses,1,zekewest,7
Battle Merchants,1,zekewest,8
Battlecrest,1,zekewest,10
Battletech Beginner Box,1,zekewest,8
Beatdown: Streets of Justice,1,zekewest,5
Beer and Bread,1,zekewest,8
Beer IQ,1,zekewest,5
Before There Were Stars,1,zekewest,8
Belle of the Ball,1,zekewest,5
Benevolent,1,zekewest,7
Bequest,1,zekewest,7
BetaBotz: Byte of Passage Review,1,zekewest,6
Biathlon Blast,1,zekewest,7
Big Dig,1,zekewest,5
Big Sur,1,zekewest,7
Bios: Origins,1,zekewest,8
Birds of A Feather: Western North America,1,zekewest,7
BitterSweet,1,zekewest,6
Black Hat,1,zekewest,5
Blind Spot,1,zekewest,3
Blitz Bowl Ultimate Edition Second Edition,1,zekewest,9
Blob Lobber,1,zekewest,4
Blood Bowl (2020) Second Season,1,zekewest,10
Blood Bowl: Team Manager,1,zekewest,8
Bloom Town,1,zekewest,7
Blossoms,1,zekewest,4
Blueshift,1,zekewest,5
Boom Blast Stix,1,zekewest,6
Borgata,1,zekewest,5
Boss Monster,1,zekewest,7
Bountytown,1,zekewest,6
Break In: Alcatraz,1,zekewest,6
Breakaway Football,1,zekewest,9
Bronze,1,zekewest,7
Brutal Kingdom,1,zekewest,8
Builders of Blankenburg,1,zekewest,8
Button Men: Beat People Up,1,zekewest,7
Bye Bye Mr. Fox,1,zekewest,7
Caesar and Cleopatra,1,zekewest,7
Call of Cthulhu – Arkham Supplement,1,zekewest,10
Call of Cthulhu – Order of the Stone,1,zekewest,10
Cantankerous Cats,1,zekewest,5
Capo dei Capi,1,zekewest,8
Captain Carcass,1,zekewest,7
Captain Marvel: Secret Skrulls,1,zekewest,7
Captain’s Wager,1,zekewest,6
Carrom Multi Game Board,1,zekewest,8
Carrotia,1,zekewest,6
Carthago,1,zekewest,5
Cartographers: A Roll Player Tale,1,zekewest,9
Cash ‘N Guns 2e,1,zekewest,9
Cassiopeia,1,zekewest,6
Castello Methoni,1,zekewest,7
Casting Shadows,1,zekewest,4
Castle Raisers,1,zekewest,4
Catacombs and Castles,1,zekewest,7
Catacombs Cubes,1,zekewest,8
Catapult Kingdoms,1,zekewest,8
Catchup,1,zekewest,9
Catharsis,1,zekewest,8
Cerebria,1,zekewest,7
Cerebria: The Card Game,1,zekewest,6
Chariots of Rome,1,zekewest,9
Chronicles of Light: Darkness,1,zekewest,7
Chrono Corsairs,1,zekewest,5
