user,game_name,mapped_ranking
auriliamoniz,Clash of Cultures: Monumental,8
auriliamoniz,Five Tribes,8
auriliamoniz_51_100,Azul Mini,7
auriliamoniz_51_100,Ticket to Ride: Europe - 15 Years,7
auriliamoniz_51_100,Teotihuacan: City of the Gods,6
auriliamoniz_51_100,Power Grid: Energized Version,6
johnnysmith,Settlers of Catan,10
johnnysmith,Apples to Apples - Party Box,9
johnnysmith,Thief of Baghdad (Bagdad),9
kaizendomingo_100_91,Bank Heist,6
kaizendomingo_100_91,Doughnut Drive-Thru,6
kaizendomingo_20_11,The Lord of the Rings: The Fellowship of the Ring - Trick-Taking Game,9
kaizendomingo_70_61,For Northwood,7
kaizendomingo_70_61,Taiwan Night Market,7
miaquattro,Fury of Dracula,7
miaquattro,T.I.M.E,7
miaquattro,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant,7
miaquattro,Five Tribes,7
miaquattro,The Quacks of Quedlinburg,6
miaquattro,Time’s Up!,6
waynekin,The Quacks of Quedlinburg.,8
waynekin,Clank! A Deck-building Adventure & Clank! Legacy.,8
waynekin,Tzolk’in.,8
waynekin,Get on Board: New York & London/Paris & Roma.,7
waynekin,Lanterns.,6
waynekin,Exit: The Game.,6
yolandaboh,Obsession,8
zacheturner_50_1,The Quacks Of Quedlinburg,10
zacheturner_50_1,Unmatched,9
zacheturner_50_1,Five Tribes,8
zacheturner_50_1,Isle Of Cats,8
zekewest,Battlecrest,10
zekewest,Blood Bowl (2020) Second Season,10
zekewest,Call of Cthulhu – Arkham Supplement,10
zekewest,Call of Cthulhu – Order of the Stone,10
zekewest,Dungeons and Dragons 5th Edition Monster Manual,10
zekewest,Empyreal Spells and Steam,10
zekewest,Five Tribes,10
zekewest,G.I. Joe: Mission Critical,10
zekewest,Neuroshima Hex 3.0,10
zekewest,Pandemic: Legacy,10
zekewest,Railroad Ink Challenge,10
zekewest,Rampage (Terror in Meeple City),10
zekewest,Sandy Petersen’s Cthulhu Mythos for 5e,10
zekewest,Second Inquisition – Vampire the Masquerade,10
zekewest,SideQuest Nemesis,10
zekewest,1846: Race for the Midwest,9
zekewest,4 Gods,9
zekewest,Architectura,9
zekewest,Ashes Reborn: Red Rains,9
zekewest,Blitz Bowl Ultimate Edition Second Edition,9
zekewest,Breakaway Football,9
zekewest,Cartographers: A Roll Player Tale,9
zekewest,Cash ‘N Guns 2e,9
zekewest,Catchup,9
zekewest,Chariots of Rome,9
zekewest,Circadians: First Light – Second Edition,9
zekewest,City of the Big Shoulders and Burden of Destiny,9
zekewest,Cyberpunk Red: Combat Zone Edgerunners,9
zekewest,DC Super-Skill Pinball: Harley Quinn Ball,9
zekewest,Dice Throne Season 2,9
zekewest,Discoveries,9
zekewest,Dungeons and Dragons 5th Edition Dungeon Master’s Guide,9
zekewest,Dungeons and Dragons 5th Edition Player’s Handbook,9
zekewest,Fantasy Realms: Greek Legends,9
zekewest,Flickfleet,9
zekewest,Funkoverse: Squid Game 100 and 101,9
zekewest,Ghoul Island – Act I: Voyage to Farzeen,9
zekewest,Golem Solo,9
zekewest,Herbalism,9
zekewest,Horizon Wars: Zero Dark,9
zekewest,Horus Heresy: Age of Darkness,9
zekewest,Ice Cool,9
zekewest,Immersive Battle Maps,9
zekewest,Ivion,9
zekewest,Lord of the Rings: The One Ring RPG,9
zekewest,Machina Arcana,9
zekewest,Marvel Dice Throne X-Men,9
zekewest,Masters of the Universe: Clash for Eternia,9
zekewest,Middara,9
zekewest,Mound Builders,9
zekewest,Obsession,9
zekewest,Pandemic: Fall of Rome,9
zekewest,Pathfinder Second Edition Player and GM Core,9
zekewest,Planet Apocalypse Sourcebook for 5e,9
zekewest,Prowler’s Passage,9
zekewest,Railroad Ink: Deep Blue,9
zekewest,Roads and Boats 20th Anniversary,9
zekewest,Sabbat: The Black Hand – A Vampire the Masquerade,9
zekewest,Sandbag,9
zekewest,Silicon Valley,9
zekewest,Slaughterball,9
zekewest,Spynet,9
zekewest,Star Trek Super-Skill Pinball,9
zekewest,Star Trek: Into the Unknown,9
zekewest,Starfinder Beginner Box,9
zekewest,Talisman: 5th Edition,9
zekewest,Tanares Adventures,9
zekewest,Team3,9
zekewest,Teenage Mutant Ninja Turtles: Change is Constant,9
zekewest,Teotihuacan: City of the Gods,9
zekewest,The Golden Sails,9
zekewest,The Night Hunter,9
zekewest,The Search for UAPs,9
zekewest,The Texas Chainsaw Massacre Board Game,9
zekewest,TIME Stories,9
zekewest,Valley of the Kings: Premium Edition,9
zekewest,"Warhammer 40,000 Indomitus",9
zekewest,Warhammer 40k Kill Team – Recruit Edition,9
zekewest,Warhammer 40K: Introductory Set,9
zekewest,Warhammer Age of Sigmar: Bladeborn,9
zekewest,Warhammer Age of Sigmar: Dominion,9
zekewest,Warhammer Quest: Cursed City,9
zekewest,What Lies Beneath?,9
zekewest,What Next?,9
zekewest,878 Vikings,8
zekewest,8Bit Attack,8
zekewest,AI Space Puzzle,8
zekewest,All Manor of Evil,8
zekewest,Animal Upon Animal: Crest Climbers,8
zekewest,ApocalypZe,8
zekewest,Avalanche at Yeti Mountain,8
zekewest,Avatar: The Last Airbender – Aang’s Destiny,8
zekewest,Axis and Allies: Anniversary Edition,8
zekewest,Baseball Card GM,8
zekewest,Batman: The Animated Series – Rogues Gallery,8
zekewest,Battle Merchants,8
zekewest,Battletech Beginner Box,8
zekewest,Beer and Bread,8
zekewest,Before There Were Stars,8
zekewest,Bios: Origins,8
zekewest,Blood Bowl: Team Manager,8
zekewest,Brutal Kingdom,8
zekewest,Builders of Blankenburg,8
zekewest,Capo dei Capi,8
zekewest,Carrom Multi Game Board,8
zekewest,Catacombs Cubes,8
zekewest,Catapult Kingdoms,8
zekewest,Catharsis,8
zekewest,Civilization: The Board Game,8
zekewest,Clank!,8
zekewest,Codex: Card-Time Strategy,8
zekewest,Corps of Discovery,8
zekewest,Covalence,8
zekewest,Cult of the Deep,8
zekewest,Deck Box Dungeons,8
zekewest,Delicious,8
zekewest,Desktop HEBOCON Battle Kit,8
zekewest,Dice Conquest,8
zekewest,Dice Kingdoms of Valeria,8
zekewest,Dinosaur Island (2.0),8
zekewest,Disney Sorcerer’s Arena,8
zekewest,Doctor Who: Don’t Blink,8
zekewest,Down in Flames: WWII-Guns Blazing,8
zekewest,Dragon Punch,8
zekewest,Dragon Tower,8
zekewest,Dungeon Date,8
zekewest,Echoes,8
zekewest,Egizia: Shifting SandsEgizia: Shifting Sands,8
zekewest,Escape from Iron Gate,8
zekewest,Escape Room in a Box: Flashback,8
zekewest,Ettin,8
zekewest,Euphoria,8
zekewest,Evil High Priest,8
zekewest,EXCEED: Street Fighter,8
zekewest,Faeries and Magical Creatures,8
zekewest,Fast and Furious Highway Heist,8
zekewest,Fillit,8
zekewest,Final Touch,8
zekewest,Fire in the Hole,8
zekewest,Floriferous: Pocket Edition,8
zekewest,Fountains,8
zekewest,Grackles,8
zekewest,Grand Prix,8
zekewest,Great Scott!,8
zekewest,Gudnak,8
zekewest,Guildmaster’s Guide to Ravnica,8
zekewest,Guilty: Houston 2015,8
zekewest,Guilty: Monaco 1955,8
zekewest,Harrow County,8
zekewest,Harvest + Fall Festival Expansion,8
zekewest,Herbaceous: Pocket Edition,8
zekewest,Hero’s Crossing,8
zekewest,Heroes Welcome,8
zekewest,Hex Roller,8
zekewest,Hispania,8
zekewest,Horizon Zero Dawn: The Board Game,8
zekewest,Horrified: Dungeons and Dragons,8
zekewest,Hundred Days 20,8
zekewest,Imagineers,8
zekewest,Invasion of the Brood,8
zekewest,Jungle Ascent,8
zekewest,Jungle Cruise Adventure Game,8
zekewest,Kill Doctor Lucky: Deluxe 19.5th Anniversary Edition,8
zekewest,King Me,8
zekewest,Knot Dice,8
zekewest,Kronologic: Cuzco 1450,8
zekewest,Kung Fu Panda: The Board Game,8
zekewest,Kyoto No Neko,8
zekewest,Lorcana,8
zekewest,Lord of the Rings Adventure to Mount Doom,8
zekewest,Lucidity: Six Sided Nightmares,8
zekewest,Marvel Dice Masters,8
zekewest,Masters of the Universe: Battleground,8
zekewest,Mean Girls: The Party Game,8
zekewest,Mega Man Adventures,8
zekewest,Mew-Tants RPG,8
zekewest,Miaui,8
zekewest,Millennia: Tracks of Time,8
zekewest,Mind MGMT,8
zekewest,Mini DiverCity,8
zekewest,Mini-Mysteries: The Medieval Mishap,8
zekewest,Necromolds: Monster Battles,8
zekewest,Neon Reign,8
zekewest,Nut So Fast,8
zekewest,Oak and Iron,8
zekewest,Okey Dokey,8
zekewest,Orcs Must Die: The Board Game,8
zekewest,Overboss,8
zekewest,Palm Laboratory,8
