game_name,stars,mapped_ranking
Battlecrest,5,10
Blood Bowl (2020) Second Season,5,10
Call of Cthulhu – Arkham Supplement,5,10
Call of Cthulhu – Order of the Stone,5,10
Dungeons and Dragons 5th Edition Monster Manual,5,10
Empyreal Spells and Steam,5,10
Five Tribes,5,10
G.I. Joe: Mission Critical,5,10
Neuroshima Hex 3.0,5,10
Pandemic: Legacy,5,10
Railroad Ink Challenge,5,10
Rampage (Terror in Meeple City),5,10
Sandy Petersen’s Cthulhu Mythos for 5e,5,10
Second Inquisition – Vampire the Masquerade,5,10
SideQuest Nemesis,5,10
1846: Race for the Midwest,4.5,9
4 Gods,4.5,9
Architectura,4.5,9
Ashes Reborn: Red Rains,4.5,9
Blitz Bowl Ultimate Edition Second Edition,4.5,9
Breakaway Football,4.5,9
Cartographers: A Roll Player Tale,4.5,9
Cash ‘N Guns 2e,4.5,9
Catchup,4.5,9
Chariots of Rome,4.5,9
Circadians: First Light – Second Edition,4.5,9
City of the Big Shoulders and Burden of Destiny,4.5,9
Cyberpunk Red: Combat Zone Edgerunners,4.5,9
DC Super-Skill Pinball: Harley Quinn Ball,4.5,9
Dice Throne Season 2,4.5,9
Discoveries,4.5,9
Dungeons and Dragons 5th Edition Dungeon Master’s Guide,4.5,9
Dungeons and Dragons 5th Edition Player’s Handbook,4.5,9
Fantasy Realms: Greek Legends,4.5,9
Flickfleet,4.5,9
Funkoverse: Squid Game 100 and 101,4.5,9
Ghoul Island – Act I: Voyage to Farzeen,4.5,9
Golem Solo,4.5,9
Herbalism,4.5,9
Horizon Wars: Zero Dark,4.5,9
Horus Heresy: Age of Darkness,4.5,9
Ice Cool,4.5,9
Immersive Battle Maps,4.5,9
Ivion,4.5,9
Lord of the Rings: The One Ring RPG,4.5,9
Machina Arcana,4.5,9
Marvel Dice Throne X-Men,4.5,9
Masters of the Universe: Clash for Eternia,4.5,9
Middara,4.5,9
Mound Builders,4.5,9
Obsession,4.5,9
Pandemic: Fall of Rome,4.5,9
Pathfinder Second Edition Player and GM Core,4.5,9
Planet Apocalypse Sourcebook for 5e,4.5,9
Prowler’s Passage,4.5,9
Railroad Ink: Deep Blue,4.5,9
Roads and Boats 20th Anniversary,4.5,9
Sabbat: The Black Hand – A Vampire the Masquerade,4.5,9
Sandbag,4.5,9
Silicon Valley,4.5,9
Slaughterball,4.5,9
Spynet,4.5,9
Star Trek Super-Skill Pinball,4.5,9
Star Trek: Into the Unknown,4.5,9
Starfinder Beginner Box,4.5,9
Talisman: 5th Edition,4.5,9
Tanares Adventures,4.5,9
Team3,4.5,9
Teenage Mutant Ninja Turtles: Change is Constant,4.5,9
Teotihuacan: City of the Gods,4.5,9
The Golden Sails,4.5,9
The Night Hunter,4.5,9
The Search for UAPs,4.5,9
The Texas Chainsaw Massacre Board Game,4.5,9
TIME Stories,4.5,9
Valley of the Kings: Premium Edition,4.5,9
"Warhammer 40,000 Indomitus",4.5,9
Warhammer 40k Kill Team – Recruit Edition,4.5,9
Warhammer 40K: Introductory Set,4.5,9
Warhammer Age of Sigmar: Bladeborn,4.5,9
Warhammer Age of Sigmar: Dominion,4.5,9
Warhammer Quest: Cursed City,4.5,9
What Lies Beneath?,4.5,9
What Next?,4.5,9
878 Vikings,4,8
8Bit Attack,4,8
AI Space Puzzle,4,8
All Manor of Evil,4,8
Animal Upon Animal: Crest Climbers,4,8
ApocalypZe,4,8
Avalanche at Yeti Mountain,4,8
Avatar: The Last Airbender – Aang’s Destiny,4,8
Axis and Allies: Anniversary Edition,4,8
Baseball Card GM,4,8
Batman: The Animated Series – Rogues Gallery,4,8
Battle Merchants,4,8
Battletech Beginner Box,4,8
Beer and Bread,4,8
Before There Were Stars,4,8
Bios: Origins,4,8
Blood Bowl: Team Manager,4,8
Brutal Kingdom,4,8
Builders of Blankenburg,4,8
Capo dei Capi,4,8
Carrom Multi Game Board,4,8
Catacombs Cubes,4,8
Catapult Kingdoms,4,8
Catharsis,4,8
Civilization: The Board Game,4,8
Clank!,4,8
Codex: Card-Time Strategy,4,8
Corps of Discovery,4,8
Covalence,4,8
Cult of the Deep,4,8
Deck Box Dungeons,4,8
Delicious,4,8
Desktop HEBOCON Battle Kit,4,8
Dice Conquest,4,8
Dice Kingdoms of Valeria,4,8
Dinosaur Island (2.0),4,8
Disney Sorcerer’s Arena,4,8
Doctor Who: Don’t Blink,4,8
Down in Flames: WWII-Guns Blazing,4,8
Dragon Punch,4,8
Dragon Tower,4,8
Dungeon Date,4,8
Echoes,4,8
Egizia: Shifting SandsEgizia: Shifting Sands,4,8
Escape from Iron Gate,4,8
Escape Room in a Box: Flashback,4,8
Ettin,4,8
Euphoria,4,8
Evil High Priest,4,8
EXCEED: Street Fighter,4,8
Faeries and Magical Creatures,4,8
Fast and Furious Highway Heist,4,8
Fillit,4,8
Final Touch,4,8
Fire in the Hole,4,8
Floriferous: Pocket Edition,4,8
Fountains,4,8
Grackles,4,8
Grand Prix,4,8
Great Scott!,4,8
Gudnak,4,8
Guildmaster’s Guide to Ravnica,4,8
Guilty: Houston 2015,4,8
Guilty: Monaco 1955,4,8
Harrow County,4,8
Harvest + Fall Festival Expansion,4,8
Herbaceous: Pocket Edition,4,8
Hero’s Crossing,4,8
Heroes Welcome,4,8
Hex Roller,4,8
Hispania,4,8
Horizon Zero Dawn: The Board Game,4,8
Horrified: Dungeons and Dragons,4,8
Hundred Days 20,4,8
Imagineers,4,8
Invasion of the Brood,4,8
Jungle Ascent,4,8
Jungle Cruise Adventure Game,4,8
Kill Doctor Lucky: Deluxe 19.5th Anniversary Edition,4,8
King Me,4,8
Knot Dice,4,8
Kronologic: Cuzco 1450,4,8
Kung Fu Panda: The Board Game,4,8
Kyoto No Neko,4,8
Lorcana,4,8
Lord of the Rings Adventure to Mount Doom,4,8
Lucidity: Six Sided Nightmares,4,8
Marvel Dice Masters,4,8
Masters of the Universe: Battleground,4,8
Mean Girls: The Party Game,4,8
Mega Man Adventures,4,8
Mew-Tants RPG,4,8
Miaui,4,8
Millennia: Tracks of Time,4,8
Mind MGMT,4,8
Mini DiverCity,4,8
Mini-Mysteries: The Medieval Mishap,4,8
Necromolds: Monster Battles,4,8
Neon Reign,4,8
Nut So Fast,4,8
Oak and Iron,4,8
Okey Dokey,4,8
Orcs Must Die: The Board Game,4,8
Overboss,4,8
Palm Laboratory,4,8
Papayoo,4,8
Papillon,4,8
Paramedics: Clear!,4,8
Periorbis,4,8
Pharaoh’s Gulo Gulo,4,8
Pigasus,4,8
Poetry Slam,4,8
Posthuman Saga,4,8
Racing Hedgehogs,4,8
Railroad Ink,4,8
Restaurant Rivals,4,8
Rise of Cthulhu,4,8
Robinson Crusoe 2nd Edition,4,8
Robotech: Reconstruction,4,8
Samara,4,8
Sausage Sizzle,4,8
Schrodinger’s Cats,4,8
Scope U-Boot,4,8
Sea Salt and Paper,4,8
Sellswords,4,8
SiliconVania,4,8
SILOS,4,8
Sinoda,4,8
Skyrockets: Festivals of Fire,4,8
Smurfs Hidden Village,4,8
Snowfall Over Mountains,4,8
Star Wars Unlimited: Shadows of the Galaxy,4,8
Street Fighter V: Champion Edition Legends,4,8
Sunflower Valley,4,8
Super Boss Monster,4,8
Super Snipers,4,8
Tales from the Red Dragon Inn,4,8
Taverns and Dragons,4,8
Techno Bowl,4,8
TEDOKU,4,8
Terrible Monster,4,8
The Dead Eye,4,8
The Haunted Mansion – Call of the Spirits,4,8
The King’s Armory,4,8
The Lady and the Tiger,4,8
The Peak Team,4,8
The Pirate Republic: African Gambit,4,8
The Ruhr: A Story of Coal,4,8
Thrones of Valeria,4,8
Tiny Ninjas,4,8
Tokyo Jutaku,4,8
TowerBrix,4,8
Umami,4,8
Unlock!,4,8
Unmatched: Battle of Legends,4,8
V-Commandos,4,8
Vampire the Masquerade: The Book of Nod,4,8
Vampire: The Masquerade – Rivals,4,8
Villainous,4,8
Villainous: Sugar and Spite,4,8
Warcry: Catacombs,4,8
"Warhammer 40,000: Fireteam",4,8
Wayward,4,8
Wish You Were Here,4,8
Wits and Wagers: It’s Vegas Baby,4,8
Wolfwalkers: My Story,4,8
World of Tanks Miniatures Game,4,8
WWE Superstar Showdown,4,8
Yummy World: Party at Picnic Palace,4,8
Zoom in Barcelona,4,8
1972: The Lost Phantom,3.5,7
Abstract Academy,3.5,7
Aeterna,3.5,7
"Air, Land, and Sea: Critters at War",3.5,7
Algae Inc.,3.5,7
Anno 1800,3.5,7
Antarctica,3.5,7
Armata Strigoi,3.5,7
Ashes: Reborn,3.5,7
AssassinCon,3.5,7
Axis & Allies & Zombies,3.5,7
Batman Everybody Lies,3.5,7
Battalion: War of the Ancients,3.5,7
Battle Bosses,3.5,7
Benevolent,3.5,7
Bequest,3.5,7
Biathlon Blast,3.5,7
Big Sur,3.5,7
Birds of A Feather: Western North America,3.5,7
Bloom Town,3.5,7
Boss Monster,3.5,7
Bronze,3.5,7
Button Men: Beat People Up,3.5,7
Bye Bye Mr. Fox,3.5,7
Caesar and Cleopatra,3.5,7
Captain Carcass,3.5,7
Captain Marvel: Secret Skrulls,3.5,7
Castello Methoni,3.5,7
Catacombs and Castles,3.5,7
Cerebria,3.5,7
Chronicles of Light: Darkness,3.5,7
City Builder Ancient World,3.5,7
Click Clack Lumberjack,3.5,7
CMYK!,3.5,7
Cocobanana,3.5,7
Conquest: First Blood,3.5,7
Conspiracy: The Solomon Gambit,3.5,7
"Critters at War: Flies, Lies, & Supplies",3.5,7
Cytosis,3.5,7
Deranged,3.5,7
Diceborn Heroes,3.5,7
Donald Duck in Happy Camper,3.5,7
Doodle Dungeon,3.5,7
Dr. Esker’s Notebook,3.5,7
Dragonlance Warriors of Krynn Review,3.5,7
Drawn to Adventure,3.5,7
Dungeon Bowl,3.5,7
Dungeon Kart,3.5,7
Dungeon Legends,3.5,7
Dungeon of the Mad Mage,3.5,7
Dungeon Saga: Origins,3.5,7
Empires,3.5,7
Escape from New York,3.5,7
Everstone: Discovering Ignis,3.5,7
Farm Rescue,3.5,7
Fate Flip: Washed Ashore,3.5,7
Feed the Shoggoth!,3.5,7
Fidelitas,3.5,7
Flapjack Flipout,3.5,7
Footprints,3.5,7
Forged in Steel,3.5,7
Fozzy Football,3.5,7
Friday the 13th: Horror at Camp Crystal Lake,3.5,7
Fruit Picking,3.5,7
FUBA,3.5,7
Galactic Strike Force,3.5,7
Galilean Moons,3.5,7
Gears of War,3.5,7
Gearworks,3.5,7
Ghosts Love Candy Too,3.5,7
Godfather: A New Don,3.5,7
Gunrunners,3.5,7
Hamsterrolle,3.5,7
Head Trip,3.5,7
Heaven and Ale,3.5,7
Hedgehog Hop,3.5,7
Hegemonic,3.5,7
Heir to the Pharoah,3.5,7
Hoyuk,3.5,7
Impact: Battle of the Elements,3.5,7
In a Flash Firefighters,3.5,7
Indiana Jones Cryptic,3.5,7
Infiltration,3.5,7
Infinity Essentials,3.5,7
Japanime Tactics: Granblue Fantasy,3.5,7
Jumanji Fluxx,3.5,7
Jurassic Parts,3.5,7
Kilter,3.5,7
King Chocolate,3.5,7
Kings of Artifice,3.5,7
Koi,3.5,7
Last Defense,3.5,7
Legendary Showdown,3.5,7
Life in Reterra,3.5,7
